City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,douglas,41.3,-96.167,24.49,64,0,2.57,US,1693101114
326,st. paul,44.9444,-93.0933,19.4,70,100,4.12,US,1693100941
327,ad dabbah,18.05,30.95,36.52,26,100,9.66,SD,1693101115
328,walvis bay,-22.9575,14.5053,12.27,93,0,4.63,NA,1693101116
329,newman,37.3138,-121.0208,32.38,43,0,1.79,US,1693100915
330,masjed soleyman,31.9364,49.3039,31.22,14,0,1.52,IR,1693101117
331,pacific grove,36.6177,-121.9166,23.9,87,100,3.13,US,1693101117
332,fortuna,40.5982,-124.1573,17.74,89,0,6.17,US,1693101118
333,souillac,-20.5167,57.5167,22.21,88,40,4.12,MU,1693101118
334,kruisfontein,-34.0033,24.7314,7.81,80,38,4.49,ZA,1693101119
335,prince rupert,54.3161,-130.3201,18.05,83,0,5.66,CA,1693100976
336,port angeles,48.1181,-123.4307,28.01,46,0,0.0,US,1693101120
337,kailua-kona,19.6406,-155.9956,27.98,68,100,3.6,US,1693100872
338,hasaki,35.7333,140.8333,32.94,74,100,3.97,JP,1693101120
339,taroa,8.7058,171.2275,28.49,74,61,6.91,MH,1693101121
340,qurayyat,31.3318,37.3428,23.1,68,0,5.66,SA,1693100868
341,mogocha,53.7333,119.7667,19.81,35,12,1.49,RU,1693101122
342,mundybash,53.211,87.2983,17.09,92,77,1.02,RU,1693101122
343,poronaysk,49.2167,143.1167,14.59,90,100,3.21,RU,1693101123
344,kone,-21.0595,164.8658,23.47,48,98,3.63,NC,1693101123
345,tofol,5.3248,163.0078,28.88,84,75,1.54,FM,1693101124
346,lagoa,39.05,-27.9833,21.98,77,22,9.37,PT,1693101124
347,yambio,4.5721,28.3955,18.6,98,22,1.65,SS,1693101125
348,jiuquan,39.7432,98.5174,24.51,27,0,4.82,CN,1693101125
349,el nido,11.1858,119.3956,28.5,83,100,8.08,PH,1693101126
350,elliot lake,46.3834,-82.6331,10.46,61,0,2.81,CA,1693101126
351,loikaw,19.6742,97.2094,20.57,97,100,1.25,MM,1693101127
352,paita,-5.0892,-81.1144,20.57,80,3,6.83,PE,1693101127
353,pangoa,-12.1167,-73.0,20.48,91,12,1.63,PE,1693101128
354,nikolayevsk-on-amure,53.1406,140.73,20.68,36,91,1.59,RU,1693101128
355,zalesovo,53.9939,84.7431,16.87,65,98,2.15,RU,1693101129
356,kirillov,59.863,38.3813,6.88,93,80,2.15,RU,1693101129
357,zhongshan,21.3226,110.5829,30.41,71,40,2.22,CN,1693101130
358,dassun,17.7204,121.6816,25.13,92,100,8.08,PH,1693101130
359,hotan,37.0997,79.9269,20.93,52,100,3.65,CN,1693101131
360,pariaman,-0.619,100.12,27.03,90,92,1.01,ID,1693101132
361,sinjai,-5.1241,120.253,28.08,65,99,3.17,ID,1693101133
362,laojunmiao,39.8333,97.7333,20.84,28,0,8.75,CN,1693101133
363,eagle river,45.9172,-89.2443,13.95,78,0,2.57,US,1693101134
364,leitchfield,37.48,-86.2939,25.1,94,23,2.64,US,1693101135
